"","PointID","Site","State","RegionNum","Treatment","VisitNum","runnel_age","Year","Point_X","Point_Y","SurveyWindow","SurveyDate","Month","Day","Observer","Tide","SurveyTime","TempF","Sky","WindSp","Noise","Site_Date","DistBand","AlphaCode","Count","feeding_guild","wetland_score"
"2051","OTH REF","Old Town Hill","MA",2,"Reference",2,NA,2022,-70.862339,42.774958,2,"7/5/2022",7,5,"JLG","High/Falling","7:33",68,1,0,1,"OTH REF 7/5/2022  ","0-50m","BARS",0,"AERIAL",0
"2052","OTH REF","Old Town Hill","MA",2,"Reference",1,NA,2023,-70.862339,42.774958,1,"6/6/2023",6,6,"JLG","Low/Falling","7:14",53,1,1,1,"OTH REF 6/6/2023  ","0-50m","BARS",0,"AERIAL",0
"2053","WPF RUN","Weekapaug Foundation","RI",3,"Runnel",1,4,2021,-71.7759,41.3301,1,"5/10/2021",5,10,"ADF","High/Rising","6:30",46,2,2,1,"WPF RUN 5/10/2021  ","0-50m","BARS",0,"AERIAL",0
"2054","MD REF","Middlebridge","RI",3,"Reference",2,NA,2022,41.460094,-71.449401,3,"6/29/2022",6,29,"JH","High/Falling","1044",74,0,2,1,"MD REF 6/29/2022  ","0-50m","BARS",3,"AERIAL",0
"2055","MD REF","Middlebridge","RI",3,"Reference",1,NA,2023,-71.449401,41.460094,2,"6/23/2023",6,23,"JH","Low","604",62,2,1,0,"MD REF 6/23/2023  ","0-50m","BARS",1,"AERIAL",0
"2056","MD REF","Middlebridge","RI",3,"Reference",2,NA,2023,-71.449401,41.460094,3,"7/10/2023",7,10,"JH","Low/Falling","814",70,2,1,1,"MD REF 7/10/2023  ","0-50m","BARS",3,"AERIAL",0
"2057","PP NAC","Potter's Pond","RI",3,"No Action",2,NA,2021,-71.523686,41.381596,2,"6/23/2021",6,23,"JAH","Low/Falling","10:32",68,0,3,1,"PP NAC 6/23/2021  ","0-50m","BARS",0,"AERIAL",0
"2058","SP REF","Sapowet","RI",3,"Reference",2,NA,2023,-71.207475,41.582289,3,"7/9/2023",7,10,"JH","Low/Falling","649",76,1,0,0,"SP REF 7/9/2023  ","0-50m","BARS",1,"AERIAL",0
"2059","SP RUN North","Sapowet","RI",3,"Runnel",1,4,2022,41.582944,-71.205411,1,"5/13/2022",5,13,"JH","High/Falling","711",57,2,0,0,"SP RUN North 5/13/2022  ","0-50m","BARS",6,"AERIAL",0
"2060","SP RUN North","Sapowet","RI",3,"Runnel",2,4,2022,41.582944,-71.205411,3,"7/11/2022",7,11,"JH","Low/Falling","835",68,0,2,1,"SP RUN North 7/11/2022  ","0-50m","BARS",3,"AERIAL",0
"2061","MM SHARP1","Moody Marsh","ME",2,"Runnel",1,10,2021,-70.59333,43.2664,2,"6/18/2021",6,18,"ARP/NA","High/Falling","7:49",62,0,1,2,"MM SHARP1 6/18/2021  ","0-50m","BARS",0,"AERIAL",0
"2062","MM SHARP1","Moody Marsh","ME",2,"Runnel",2,10,2021,-70.59333,43.2664,3,"7/7/2021",7,7,"ARP/NA","High/Rising","7:54",77,0,1,1,"MM SHARP1 7/7/2021  ","0-50m","BARS",0,"AERIAL",0
"2063","MM SHARP1","Moody Marsh","ME",2,"Runnel",1,12,2023,-70.59333,43.2664,1,"6/7/2023",6,7,"JLG/LG","Low/Falling","6:13",54,1,1,1,"MM SHARP1 6/7/2023  ","0-50m","BARS",0,"AERIAL",0
"2064","DPR S Rest","Plum Island","MA",2,"Runnel",2,4,2023,-70.809,42.7777,2,"7/21/2023",7,21,"JGM","Low","900",73,2,1,0,"DPR S Rest 7/21/2023  ","0-50m","BARS",0,"AERIAL",0
"2065","MM SHARP1","Moody Marsh","ME",2,"Runnel",2,12,2023,-70.59333,43.2664,2,"7/17/2023",7,17,"JLG","Low","8:00",72,1,0,1,"MM SHARP1 7/17/2023  ","0-50m","BARS",0,"AERIAL",0
"2066","MM SHARP2","Moody Marsh","ME",2,"Reference",1,NA,2021,-70.5891,43.2696,2,"6/18/2021",6,18,"ARP/NA","High/Falling","8:33",68,0,1,1,"MM SHARP2 6/18/2021  ","0-50m","BARS",0,"AERIAL",0
"2067","MM SHARP2","Moody Marsh","ME",2,"Reference",2,NA,2021,-70.5891,43.2696,3,"7/7/2021",7,7,"ARP/NA","High/Rising","8:34",78,0,2,1,"MM SHARP2 7/7/2021  ","0-50m","BARS",0,"AERIAL",0
"2068","Ipswich REF West","Ipswich","MA",2,"Reference",2,NA,2022,-70.782456,42.680364,2,"6/20/2022",6,20,"JLG","High/Falling","7:53",59,0,1,1,"Ipswich REF West 6/20/2022  ","0-50m","BARS",0,"AERIAL",0
"2069","Ipswich REF West","Ipswich","MA",2,"Reference",1,NA,2023,-70.771769,42.680317,1,"6/15/2023",6,15,"JLG","High/Rising","9:30",62,1,1,1,"Ipswich REF West 6/15/2023  ","0-50m","BARS",0,"AERIAL",0
"2070","NR REF","Narrow River","RI",3,"Reference",2,NA,2023,-71.461905,41.447894,3,"7/10/2023",7,10,"JH","Low/Falling","716",70,2,3,1,"NR REF 7/10/2023  ","0-50m","BARS",2,"AERIAL",0
"2071","PINE N REF SHARP","Pine Island","MA",2,"Reference",1,NA,2023,-70.832,42.7709,1,"6/8/2023",6,8,"JGM","Low/Falling","7:25",55,2,1,1,"PINE N REF SHARP 6/8/2023  ","0-50m","BARS",0,"AERIAL",0
"2072","PINE N REF SHARP","Pine Island","MA",2,"Reference",2,NA,2023,-70.832,42.7709,2,"7/18/2023",7,18,"JGM","Low/Rising","1030",75,2,1,1,"PINE N REF SHARP 7/18/2023  ","0-50m","BARS",0,"AERIAL",0
"2073","PINE N RUN SHARP","Pine Island","MA",2,"Runnel",1,6,2021,-70.83,42.7696,2,"6/23/2021",6,23,"ARP/NA","High/Rising","9:35",65,0,2,1,"PINE N RUN SHARP 6/23/2021  ","0-50m","BARS",0,"AERIAL",0
"2074","PINE N RUN SHARP","Pine Island","MA",2,"Runnel",2,6,2021,-70.83,42.7696,3,"7/7/2021",7,7,"JLG/NA","Low","6:14",72,1,1,1,"PINE N RUN SHARP 7/7/2021  ","0-50m","BARS",0,"AERIAL",0
"2075","SP RUN North","Sapowet","RI",3,"Runnel",1,5,2023,-71.205411,41.582944,2,"6/4/2023",6,4,"JH","High/Rising","701",51,1,2,1,"SP RUN North 6/4/2023  ","0-50m","BARS",2,"AERIAL",0
"2076","Kents RUN","Kent's Island","MA",2,"Runnel",1,1,2023,-70.875569,42.759872,1,"6/6/2023",6,6,"JLG","Low/Falling","9:41",62,1,1,1,"Kents RUN 6/6/2023  ","0-50m","BARS",0,"AERIAL",0
"2077","Kents RUN","Kent's Island","MA",2,"Runnel",2,1,2023,-70.875569,42.759872,2,"7/11/2023",7,11,"JLG","High","9:21",71,1,2,1,"Kents RUN 7/11/2023  ","0-50m","BARS",0,"AERIAL",0
"2078","JP RUN","Jacob's Point","RI",3,"Runnel",1,5,2021,-71.2876,41.712,1,"5/24/2021",5,24,"ADF","High/Falling","9:30",65,0,1,1,"JP RUN 5/24/2021  ","0-50m","BARS",0,"AERIAL",0
"2079","NR REF","Narrow River","RI",3,"Reference",1,NA,2022,41.447894,-71.461905,1,"5/31/2022",5,31,"SM","High/Falling","1035",81,0,2,2,"NR REF 5/31/2022  ","0-50m","BARS",3,"AERIAL",0
"2080","NR REF","Narrow River","RI",3,"Reference",2,NA,2022,41.447894,-71.461905,3,"6/29/2022",6,29,"JH","High/Falling","932",69,1,0,0,"NR REF 6/29/2022  ","0-50m","BARS",0,"AERIAL",0
"2081","OTH RUN","Old Town Hill","MA",2,"Runnel",1,1,2022,-70.859639,42.771683,1,"5/31/2022",5,31,"JLG","Low/Falling","6:43",62,1,0,2,"OTH RUN 5/31/2022  ","0-50m","BARS",0,"AERIAL",0
"2082","NR REF","Narrow River","RI",3,"Reference",1,NA,2023,-71.461905,41.447894,2,"6/24/2023",6,24,"JH","Low","729",67,5,0,1,"NR REF 6/24/2023  ","0-50m","BARS",0,"AERIAL",0
"2083","PINE N REF SHARP","Pine Island","MA",2,"Reference",2,NA,2021,-70.832,42.7709,3,"7/7/2021",7,7,"JLG/NA","Low","6:33",72,1,1,1,"PINE N REF SHARP 7/7/2021  ","0-50m","BARS",0,"AERIAL",0
"2084","WPF RUN","Weekapaug Foundation","RI",3,"Runnel",2,6,2023,-71.7759,41.3301,2,"6/2/2023",6,2,"JH","High/Rising","659",60,0,1,1,"WPF RUN 6/2/2023  ","0-50m","BARS",1,"AERIAL",0
"2085","NR RUN","Narrow River","RI",3,"Runnel",1,6,2022,41.444954,-71.464571,2,"6/2/2022",6,2,"SM","High","1026",63,2,1,1,"NR RUN 6/2/2022  ","0-50m","BARS",0,"AERIAL",0
"2086","NR RUN","Narrow River","RI",3,"Runnel",2,6,2022,41.444954,-71.464571,3,"6/29/2022",6,29,"JH","High/Falling","1000",71,1,1,1,"NR RUN 6/29/2022  ","0-50m","BARS",2,"AERIAL",0
"2087","NR RUN","Narrow River","RI",3,"Runnel",1,7,2023,-71.464571,41.444954,2,"6/24/2023",6,24,"JH","Low","749",67,5,0,1,"NR RUN 6/24/2023  ","0-50m","BARS",2,"AERIAL",0
"2088","PINE N RUN SHARP","Pine Island","MA",2,"Runnel",1,8,2023,-70.83,42.7696,1,"6/8/2023",6,8,"JGM","Low/Falling","7:50",55,2,1,0,"PINE N RUN SHARP 6/8/2023  ","0-50m","BARS",0,"AERIAL",0
"2089","PINE N RUN SHARP","Pine Island","MA",2,"Runnel",2,8,2023,-70.83,42.7696,2,"7/18/2023",7,18,"JGM","Low/Rising","1029",77,2,1,0,"PINE N RUN SHARP 7/18/2023  ","0-50m","BARS",0,"AERIAL",0
"2090","PP REF","Potter's Pond","RI",3,"Reference",1,NA,2023,-71.53134,41.378349,1,"5/21/2023",5,21,"JH","High/Falling","810",57,2,2,1,"PP REF 5/21/2023  ","0-50m","BARS",0,"AERIAL",0
"2091","WPF NAC","Weekapaug Foundation","RI",3,"No Action",1,NA,2021,-71.773506,41.330241,1,"5/10/2021",5,10,"ADF","High/Rising","7:00",46,2,2,1,"WPF NAC 5/10/2021  ","0-50m","BARS",0,"AERIAL",0
"2092","SP RUN South","Sapowet","RI",3,"Runnel",2,1,2023,-71.205069,41.578878,3,"7/9/2023",7,9,"JH","Low","735",76,2,0,1,"SP RUN South 7/9/2023  ","0-50m","BARS",0,"AERIAL",0
"2093","OTH REF","Old Town Hill","MA",2,"Reference",2,NA,2023,-70.862339,42.774958,2,"7/7/2023",7,7,"JLG","Low/Falling","8:06",74,1,1,1,"OTH REF 7/7/2023  ","0-50m","BARS",0,"AERIAL",0
"2094","PINE S REF SHARP","Pine Island","MA",2,"Reference",1,NA,2021,-70.82514,42.7653,2,"6/23/2021",6,23,"JLG/JGM","High/Rising","9:24",63,0,3,1,"PINE S REF SHARP 6/23/2021  ","0-50m","BARS",0,"AERIAL",0
"2095","PINE N REF SHARP","Pine Island","MA",2,"Reference",1,NA,2021,-70.832,42.7709,2,"6/23/2021",6,23,"ARP/NA","High/Rising","9:07",63,0,3,1,"PINE N REF SHARP 6/23/2021  ","0-50m","BARS",0,"AERIAL",0
"2096","RM NAC","Round Marsh","RI",3,"No Action",1,NA,2023,-71.3709,41.5085,1,"5/31/2023",5,31,"JH","High/Falling","602",52,2,1,1,"RM NAC 5/31/2023  ","0-50m","BARS",3,"AERIAL",0
"2097","WPTL NAC","Winnapaug Town Land","RI",3,"No Action",2,NA,2023,-71.766984,41.33182,2,"6/2/2023",6,2,"JH","High/Rising","608",59,0,1,1,"WPTL NAC 6/2/2023  ","0-50m","BARS",5,"AERIAL",0
"2098","WPTL NAC","Winnapaug Town Land","RI",3,"No Action",1,NA,2021,-71.766984,41.33182,1,"5/10/2021",5,10,"ADF","High/Rising","8:00",46,2,2,1,"WPTL NAC 5/10/2021  ","0-50m","BARS",0,"AERIAL",0
"2099","MD RUN","Middlebridge","RI",3,"Runnel",1,6,2022,41.460933,-71.4481,2,"6/23/2022",6,23,"SM","High/Falling","613",62,1,1,1,"MD RUN 6/23/2022  ","0-50m","BARS",0,"AERIAL",0
"2100","MD RUN","Middlebridge","RI",3,"Runnel",2,6,2022,41.460933,-71.4481,3,"7/7/2022",7,7,"SM","Low/Falling","625",63,0,0,1,"MD RUN 7/7/2022  ","0-50m","BARS",3,"AERIAL",0
"2101","PINE NAC SHARP","Pine Island","MA",2,"No Action",1,NA,2023,-70.828,42.76816,1,"6/8/2023",6,8,"JGM","Low/Falling","8:30",63,3,1,0,"PINE NAC SHARP 6/8/2023  ","0-50m","BARS",0,"AERIAL",0
"2102","WPTL REF","Winnapaug Town Land","RI",3,"Reference",1,NA,2021,-71.765935,41.336478,1,"5/10/2021",5,10,"ADF","High/Rising","8:45",50,2,2,1,"WPTL REF 5/10/2021  ","0-50m","BARS",0,"AERIAL",0
"2103","WPTL REF","Winnapaug Town Land","RI",3,"Reference",1,NA,2023,-71.765935,41.336478,1,"5/20/2023",5,20,"JH","Low/Rising","820",60,2,2,1,"WPTL REF 5/20/2023  ","0-50m","BARS",11,"AERIAL",0
"2104","PP RUN","Potter's Pond","RI",3,"Runnel",1,3,2021,-71.527601,41.37927,1,"5/13/2021",5,13,"ADF","High/Rising","6:55",50,0,1,1,"PP RUN 5/13/2021  ","0-50m","BARS",0,"AERIAL",0
"2105","WPF RUN","Weekapaug Foundation","RI",3,"Runnel",1,6,2023,-71.7759,41.3301,1,"5/20/2023",5,20,"JH","Low/Rising","743",60,2,2,1,"WPF RUN 5/20/2023  ","0-50m","BARS",0,"AERIAL",0
"2106","PINE NAC SHARP","Pine Island","MA",2,"No Action",2,NA,2023,-70.828,42.76816,2,"7/18/2023",7,18,"JGM","Low","730",72,2,1,1,"PINE NAC SHARP 7/18/2023  ","0-50m","BARS",0,"AERIAL",0
"2107","JP RUN","Jacob's Point","RI",3,"Runnel",1,7,2023,-71.2876,41.712,2,"6/16/2023",6,16,"JH","High/Rising","650",64,0,0,1,"JP RUN 6/16/2023  ","0-50m","BARS",0,"AERIAL",0
"2108","PLHA RUN North","Plum Island","MA",2,"Runnel",2,4,2023,-70.806447,42.764928,2,"7/21/2023",7,21,"JLG","Low/Falling","752",72,1,1,1,"PLHA RUN North 7/21/2023  ","0-50m","BARS",0,"AERIAL",0
"2109","OTH RUN","Old Town Hill","MA",2,"Runnel",2,2,2023,-70.859639,42.771683,2,"7/7/2023",7,7,"JLG","Low/Falling","6:33",72,1,1,1,"OTH RUN 7/7/2023  ","0-50m","BARS",0,"AERIAL",0
"2110","OTH NAC","Old Town Hill","MA",2,"No Action",2,NA,2023,-70.860789,42.777164,2,"7/7/2023",7,7,"JLG","Low/Falling","7:07",72,1,1,1,"OTH NAC 7/7/2023  ","0-50m","BARS",0,"AERIAL",0
"2111","OTH RUN","Old Town Hill","MA",2,"Runnel",2,1,2022,-70.859639,42.771683,2,"7/5/2022",7,5,"JLG","High/Falling","6:38",65,1,0,1,"OTH RUN 7/5/2022  ","0-50m","BARS",0,"AERIAL",0
"2112","OTH RUN","Old Town Hill","MA",2,"Runnel",1,2,2023,-70.859639,42.771683,1,"6/6/2023",6,6,"JLG","Low/Falling","8:41",60,1,2,2,"OTH RUN 6/6/2023  ","0-50m","BARS",0,"AERIAL",0
"2113","WPTL REF","Winnapaug Town Land","RI",3,"Reference",2,NA,2023,-71.765935,41.336478,2,"6/2/2023",6,2,"JH","High/Rising","732",60,2,1,2,"WPTL REF 6/2/2023  ","0-50m","BARS",0,"AERIAL",0
"2114","WPTL RUN","Winnapaug Town Land","RI",3,"Runnel",2,10,2023,-71.76859,41.330282,2,"6/2/2023",6,2,"JH","High/Rising","623",59,0,1,1,"WPTL RUN 6/2/2023  ","0-50m","BARS",0,"AERIAL",0
"2115","JP RUN","Jacob's Point","RI",3,"Runnel",2,5,2021,-71.2876,41.712,2,"6/3/2021",6,3,"ADF","Low/Falling","6:15",60,2,1,1,"JP RUN 6/3/2021  ","0-50m","BARS",0,"AERIAL",0
"2116","WPTL NAC","Winnapaug Town Land","RI",3,"No Action",1,NA,2023,-71.766984,41.33182,1,"5/20/2023",5,20,"JH","Low/Rising","651",59,2,2,1,"WPTL NAC 5/20/2023  ","0-50m","BARS",2,"AERIAL",0
"2117","PP RUN","Potter's Pond","RI",3,"Runnel",2,5,2023,-71.527601,41.37927,2,"6/19/2023",6,19,"JH","High/Rising","738",63,1,2,1,"PP RUN 6/19/2023  ","0-50m","BARS",1,"AERIAL",0
"2118","WPTL RUN","Winnapaug Town Land","RI",3,"Runnel",1,10,2023,-71.76859,41.330282,1,"5/20/2023",5,20,"JH","Low/Rising","707",59,2,1,1,"WPTL RUN 5/20/2023  ","0-50m","BARS",4,"AERIAL",0
"2119","WPTL RUN","Winnapaug Town Land","RI",3,"Runnel",1,8,2021,-71.76859,41.330282,1,"5/10/2021",5,10,"ADF","High/Rising","7:30",46,2,2,1,"WPTL RUN 5/10/2021  ","0-50m","BARS",0,"AERIAL",0
"2120","PP RUN","Potter's Pond","RI",3,"Runnel",1,5,2023,-71.527601,41.37927,1,"5/21/2023",5,21,"JH","High/Falling","743",57,2,3,1,"PP RUN 5/21/2023  ","0-50m","BARS",0,"AERIAL",0
"2121","SP RUN South","Sapowet","RI",3,"Runnel",1,1,2023,-71.205069,41.578878,2,"6/4/2023",6,4,"JH","High/Rising","726",52,1,2,0,"SP RUN South 6/4/2023  ","0-50m","BARS",0,"AERIAL",0
"2122","SP RUN North","Sapowet","RI",3,"Runnel",2,5,2023,-71.205411,41.582944,3,"7/9/2023",7,9,"JH","Low/Falling","707",76,2,1,0,"SP RUN North 7/9/2023  ","0-50m","BARS",14,"AERIAL",0
"2123","OTH REF","Old Town Hill","MA",2,"Reference",1,NA,2022,-70.862339,42.774958,1,"5/31/2022",5,31,"JLG","Low","7:38",64,1,2,2,"OTH REF 5/31/2022  ","0-50m","BARS",0,"AERIAL",0
"2124","PP RUN","Potter's Pond","RI",3,"Runnel",2,3,2021,-71.527601,41.37927,2,"6/15/2021",6,15,"JAH","Low/Rising","9:16",68,2,2,1,"PP RUN 6/15/2021  ","0-50m","BARS",0,"AERIAL",0
"2125","PLHA RUN South","Plum Island","MA",2,"Runnel",1,4,2023,-70.805311,42.757836,1,"6/12/2023",6,12,"JLG","High/Falling","8:31",61,2,1,1,"PLHA RUN South 6/12/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2126","PLHA REF South","Plum Island","MA",2,"Reference",2,NA,2023,-70.806616,42.758355,2,"7/21/2023",7,21,"JLG","Low","903",73,2,1,1,"PLHA REF South 7/21/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2127","PLHA REF South","Plum Island","MA",2,"Reference",1,NA,2023,-70.806616,42.758355,1,"6/12/2023",6,12,"JLG","High/Falling","8:45",62,2,1,1,"PLHA REF South 6/12/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2128","Essex RUN North","Essex","MA",2,"Runnel",1,1,2023,-70.775369,42.651917,1,"6/15/2023",6,15,"JLG","Low/Rising","7:07",61,2,1,1,"Essex RUN North 6/15/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2129","PLHA RUN North","Plum Island","MA",2,"Runnel",2,4,2023,-70.806447,42.764928,2,"7/21/2023",7,21,"JLG","Low/Falling","752",72,1,1,1,"PLHA RUN North 7/21/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2130","PLHA RUN South","Plum Island","MA",2,"Runnel",2,3,2022,-70.805311,42.757836,2,"6/28/2022",6,28,"JLG","Low/Rising","9:43",70,0,2,2,"PLHA RUN South 6/28/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2131","PLHA RUN North","Plum Island","MA",2,"Runnel",2,3,2022,-70.806447,42.764928,2,"6/28/2022",6,28,"JLG","Low","7:31",61,0,2,2,"PLHA RUN North 6/28/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2132","Essex RUN South","Essex","MA",2,"Runnel",1,0,2022,-70.7728,42.651456,1,"5/27/2022",5,27,"JLG","Low/Rising","6:57",61,1,2,3,"Essex RUN South 5/27/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2133","PLHA RUN South","Plum Island","MA",2,"Runnel",1,0,2022,-70.805311,42.757836,1,"6/1/2022",6,1,"JLG","Low","9:39",58,2,2,2,"PLHA RUN South 6/1/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2134","Essex RUN North","Essex","MA",2,"Runnel",1,0,2022,-70.775369,42.651917,1,"5/27/2022",5,27,"JLG","Low/Rising","6:02",60,2,2,2,"Essex RUN North 5/27/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2135","Ipswich NAC West","Ipswich","MA",2,"No Action",2,NA,2022,-70.781622,42.678839,2,"6/20/2022",6,20,"JLG","High/Falling","8:07",59,0,2,1,"Ipswich NAC West 6/20/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2136","Ipswich NAC West","Ipswich","MA",2,"No Action",1,NA,2023,-70.773939,42.679464,1,"6/15/2023",6,15,"JLG","High/Rising","9:17",62,1,0,1,"Ipswich NAC West 6/15/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2137","PLHA RUN South","Plum Island","MA",2,"Runnel",2,4,2023,-70.805311,42.757836,2,"7/21/2023",7,21,"JLG","Low","916",73,2,1,2,"PLHA RUN South 7/21/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2138","Essex RUN North","Essex","MA",2,"Runnel",2,1,2023,-70.775369,42.651917,2,"7/19/2023",7,19,"JGM","Low/Rising","800",72,2,1,2,"Essex RUN North 7/19/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2139","Ipswich REF West","Ipswich","MA",2,"Reference",2,NA,2023,-70.771769,42.680317,2,"7/12/2023",7,12,"JLG","High/Falling","9:31",80,0,1,1,"Ipswich REF West 7/12/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2140","Ipswich REF West","Ipswich","MA",2,"Reference",2,NA,2022,-70.782456,42.680364,2,"6/20/2022",6,20,"JLG","High/Falling","7:53",59,0,1,1,"Ipswich REF West 6/20/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2141","Essex RUN North","Essex","MA",2,"Runnel",2,0,2022,-70.775369,42.651917,2,"6/20/2022",6,20,"JLG","High/Falling","9:20",61,0,1,1,"Essex RUN North 6/20/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2142","Essex RUN South","Essex","MA",2,"Runnel",1,1,2023,-70.7728,42.651456,1,"6/15/2023",6,15,"JLG","Low/Rising","6:16",62,2,1,1,"Essex RUN South 6/15/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2143","Ipswich RUN East","Ipswich","MA",2,"Runnel",2,0,2022,-70.775144,42.680281,2,"6/20/2022",6,20,"JLG","High/Falling","7:15",54,0,1,2,"Ipswich RUN East 6/20/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2144","Essex RUN South","Essex","MA",2,"Runnel",2,1,2023,-70.7728,42.651456,2,"7/19/2023",7,19,"JGM","Low/Rising","845",75,2,2,2,"Essex RUN South 7/19/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2145","Ipswich REF West","Ipswich","MA",2,"Reference",1,NA,2022,-70.782456,42.680364,1,"5/27/2022",5,27,"JLG","High/Rising","8:30",64,1,3,1,"Ipswich REF West 5/27/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2146","PLHA RUN North","Plum Island","MA",2,"Runnel",1,3,2022,-70.806447,42.764928,1,"6/1/2022",6,1,"JLG","Low","8:47",57,2,2,2,"PLHA RUN North 6/1/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2147","NR RUN","Narrow River","RI",3,"Runnel",1,7,2023,-71.464571,41.444954,2,"6/24/2023",6,24,"JH","Low","749",67,5,0,1,"NR RUN 6/24/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2148","Essex REF North","Essex","MA",2,"Reference",1,NA,2022,-70.774717,42.654558,1,"5/27/2022",5,27,"JLG","Low/Rising","6:39",61,1,0,2,"Essex REF North 5/27/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2149","NR RUN","Narrow River","RI",3,"Runnel",2,7,2023,-71.464571,41.444954,3,"7/10/2023",7,10,"JH","Low/Falling","736",70,2,2,1,"NR RUN 7/10/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2150","Essex RUN South","Essex","MA",2,"Runnel",2,0,2022,-70.7728,42.651456,2,"6/20/2022",6,20,"JLG","High/Falling","10:13",66,0,1,2,"Essex RUN South 6/20/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2151","Essex REF South","Essex","MA",2,"Reference",2,NA,2023,-70.773536,42.649931,2,"7/19/2023",7,19,"JGM","Low/Rising","905",72,1,2,2,"Essex REF South 7/19/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2152","OTH NAC","Old Town Hill","MA",2,"No Action",2,NA,2023,-70.860789,42.777164,2,"7/7/2023",7,7,"JLG","Low/Falling","7:07",72,1,1,1,"OTH NAC 7/7/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2153","PLHA REF South","Plum Island","MA",2,"Reference",2,NA,2022,-70.806616,42.758355,2,"6/28/2022",6,28,"JLG","Low/Rising","10:04",70,0,1,2,"PLHA REF South 6/28/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2154","Essex REF South","Essex","MA",2,"Reference",1,NA,2023,-70.773536,42.649931,1,"6/15/2023",6,15,"JLG","Low/Rising","6:00",61,2,0,1,"Essex REF South 6/15/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2155","Ipswich RUN East","Ipswich","MA",2,"Runnel",1,0,2022,-70.775144,42.680281,1,"5/27/2022",5,27,"JLG","High/Rising","9:30",67,1,2,3,"Ipswich RUN East 5/27/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2156","OTH REF","Old Town Hill","MA",2,"Reference",2,NA,2022,-70.862339,42.774958,2,"7/5/2022",7,5,"JLG","High/Falling","7:33",68,1,0,1,"OTH REF 7/5/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2157","OTH REF","Old Town Hill","MA",2,"Reference",1,NA,2023,-70.862339,42.774958,1,"6/6/2023",6,6,"JLG","Low/Falling","7:14",53,1,1,1,"OTH REF 6/6/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2158","OTH REF","Old Town Hill","MA",2,"Reference",1,NA,2022,-70.862339,42.774958,1,"5/31/2022",5,31,"JLG","Low","7:38",64,1,2,2,"OTH REF 5/31/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2159","Ipswich NAC West","Ipswich","MA",2,"No Action",1,NA,2022,-70.781622,42.678839,1,"5/27/2022",5,27,"JLG","High/Rising","8:16",63,2,3,1,"Ipswich NAC West 5/27/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2160","OTH RUN","Old Town Hill","MA",2,"Runnel",2,1,2022,-70.859639,42.771683,2,"7/5/2022",7,5,"JLG","High/Falling","6:38",65,1,0,1,"OTH RUN 7/5/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
"2161","MD NAC","Middlebridge","RI",3,"No Action",2,NA,2023,-71.4481,41.460933,3,"7/10/2023",7,10,"JH","Low/Rising","830",70,2,2,1,"MD NAC 7/10/2023  ","0-50m","BBGU",0,"SCAVENGERS",5
"2162","PP NAC","Potter's Pond","RI",3,"No Action",1,NA,2021,-71.523686,41.381596,1,"5/13/2021",5,13,"ADF","High/Rising","8:40",55,0,1,1,"PP NAC 5/13/2021  ","0-50m","BBGU",0,"SCAVENGERS",5
"2163","OTH NAC","Old Town Hill","MA",2,"No Action",1,NA,2022,-70.860789,42.777164,1,"5/31/2022",5,31,"JLG","Low","7:58",72,1,2,2,"OTH NAC 5/31/2022  ","0-50m","BBGU",0,"SCAVENGERS",5
